carat - קראט,cut - חיתוך,color - צבע,clarity - שקיפות / דרגת ניקיון,depth - עומק באחוזים,table - משטח עליון באחוזים,x - אורך מ''מ,y - רוחב מ''מ,z - גובה מ''מ,price - מחיר בדולרים,מחיר לקרט
0.23,Ideal,E,SI2,61.5,55.0,3.95,3.98,2.43,326,1417.391304347826
0.21,Premium,E,SI1,59.8,61.0,3.89,3.84,2.31,326,1552.3809523809525
0.23,Good,E,VS1,56.9,65.0,4.05,4.07,2.31,327,1421.7391304347825
0.29,Premium,I,VS2,62.4,58.0,4.2,4.23,2.63,334,1151.7241379310346
0.31,Good,J,SI2,63.3,58.0,4.34,4.35,2.75,335,1080.6451612903227
0.24,Very Good,J,VVS2,62.8,57.0,3.94,3.96,2.48,336,1400.0
0.24,Very Good,I,VVS1,62.3,57.0,3.95,3.98,2.47,336,1400.0
0.26,Very Good,H,SI1,61.9,55.0,4.07,4.11,2.53,337,1296.1538461538462
0.22,Fair,E,VS2,65.1,61.0,3.87,3.78,2.49,337,1531.8181818181818
0.23,Very Good,H,VS1,59.4,61.0,4.0,4.05,2.39,338,1469.5652173913043
0.3,Good,J,SI1,64.0,55.0,4.25,4.28,2.73,339,1130.0
0.23,Ideal,J,VS1,62.8,56.0,3.93,3.9,2.46,340,1478.2608695652173
0.22,Premium,F,SI1,60.4,61.0,3.88,3.84,2.33,342,1554.5454545454545
0.31,Ideal,J,SI2,62.2,54.0,4.35,4.37,2.71,344,1109.6774193548388
0.2,Premium,E,SI2,60.2,62.0,3.79,3.75,2.27,345,1725.0
0.32,Premium,E,I1,60.9,58.0,4.38,4.42,2.68,345,1078.125
0.3,Ideal,I,SI2,62.0,54.0,4.31,4.34,2.68,348,1160.0
0.3,Good,J,SI1,63.4,54.0,4.23,4.29,2.7,351,1170.0
0.3,Good,J,SI1,63.8,56.0,4.23,4.26,2.71,351,1170.0
0.3,Very Good,J,SI1,62.7,59.0,4.21,4.27,2.66,351,1170.0
0.3,Good,I,SI2,63.3,56.0,4.26,4.3,2.71,351,1170.0
0.23,Very Good,E,VS2,63.8,55.0,3.85,3.92,2.48,352,1530.4347826086955
0.23,Very Good,H,VS1,61.0,57.0,3.94,3.96,2.41,353,1534.782608695652
0.31,Very Good,J,SI1,59.4,62.0,4.39,4.43,2.62,353,1138.7096774193549
